Partido,Goles
1,3
2,2
3,0
4,3
5,0
6,3
7,0
8,2
9,0
10,0
11,3
12,1
13,1
14,0
15,1
16,0
17,1
18,0
19,2
20,3
21,0
22,1
23,0
24,4
25,1
26,0
27,2
28,1
29,3
30,1
31,1
32,2
33,1
34,2
35,0
36,2
37,4
38,0
